CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 
Done!0.16 s

Number of sentences: 1805
Number of features:  51446
Number of thread(s): 8
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=69 terr=0.10383 serr=0.59058 act=51446 obj=8239.02084 diff=0.00171
iter=70 terr=0.10311 serr=0.59003 act=51446 obj=8232.32445 diff=0.00081
iter=71 terr=0.10188 serr=0.58449 act=51446 obj=8222.20561 diff=0.00123
iter=72 terr=0.10100 serr=0.57895 act=51446 obj=8215.00932 diff=0.00088
iter=73 terr=0.10025 serr=0.57895 act=51446 obj=8208.99585 diff=0.00073
iter=74 terr=0.09973 serr=0.57729 act=51446 obj=8199.99040 diff=0.00110
iter=75 terr=0.10009 serr=0.57562 act=51446 obj=8193.97674 diff=0.00073
iter=76 terr=0.09977 serr=0.57507 act=51446 obj=8190.41617 diff=0.00043
iter=77 terr=0.09889 serr=0.57341 act=51446 obj=8183.10752 diff=0.00089
iter=78 terr=0.09802 serr=0.57285 act=51446 obj=8203.61577 diff=0.00251
iter=79 terr=0.09901 serr=0.57285 act=51446 obj=8179.28348 diff=0.00297
iter=80 terr=0.09718 serr=0.56731 act=51446 obj=8172.81495 diff=0.00079
iter=81 terr=0.09647 serr=0.56565 act=51446 obj=8169.34602 diff=0.00042
iter=82 terr=0.09412 serr=0.56011 act=51446 obj=8162.59273 diff=0.00083
iter=83 terr=0.09376 serr=0.55512 act=51446 obj=8157.39809 diff=0.00064
iter=84 terr=0.09352 serr=0.55457 act=51446 obj=8154.68012 diff=0.00033
iter=85 terr=0.09320 serr=0.55679 act=51446 obj=8148.17704 diff=0.00080
iter=86 terr=0.09280 serr=0.55402 act=51446 obj=8141.82547 diff=0.00078
iter=87 terr=0.09189 serr=0.55402 act=51446 obj=8138.97276 diff=0.00035
iter=88 terr=0.09237 serr=0.55457 act=51446 obj=8134.46960 diff=0.00055
iter=89 terr=0.09249 serr=0.55734 act=51446 obj=8133.18048 diff=0.00016
iter=90 terr=0.09245 serr=0.55623 act=51446 obj=8131.11267 diff=0.00025
iter=91 terr=0.09241 serr=0.55291 act=51446 obj=8128.24986 diff=0.00035
iter=92 terr=0.09225 serr=0.55291 act=51446 obj=8125.79880 diff=0.00030
iter=93 terr=0.09125 serr=0.54958 act=51446 obj=8121.42412 diff=0.00054
iter=94 terr=0.09137 serr=0.55125 act=51446 obj=8120.81305 diff=0.00008
iter=95 terr=0.08998 serr=0.54737 act=51446 obj=8116.65504 diff=0.00051
iter=96 terr=0.09018 serr=0.54737 act=51446 obj=8115.99532 diff=0.00008
iter=97 terr=0.09002 serr=0.54681 act=51446 obj=8115.15175 diff=0.00010
iter=98 terr=0.09014 serr=0.54737 act=51446 obj=8113.58287 diff=0.00019
iter=99 terr=0.09010 serr=0.54903 act=51446 obj=8113.09250 diff=0.00006
iter=100 terr=0.09058 serr=0.55180 act=51446 obj=8111.86954 diff=0.00015
iter=101 terr=0.09018 serr=0.54792 act=51446 obj=8109.80504 diff=0.00025
